,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature84,10986.0,9785726.506917896,14441727.989451751,0.0,0.0,0.0,900000.0,4950000.0,12908125.0,35850000.0,68029749.99999997,250000000.0,0.08728211749515817,0.5271788250484183,0.5507508989623917,0.08582021047359556,0.016074965030206927
feature85,10986.0,510852.46127578954,521903.73050885665,0.0,0.0,0.0,150000.0,401034.66385,713260.8695500001,1464566.532,2350000.0,13000000.0,0.08728211749515817,0.5271788250484183,0.5461990370342249,0.08803595505175738,0.015596456577543404
feature86,10986.0,24647954.807209175,35618197.146900095,-49918777.0,0.0,0.0,3561937.5,12390359.5,32008390.25,88865684.0,162858593.59999946,672736793.0,0.02819023025607919,0.5271788250484183,0.5515520994757962,0.08136354799236994,0.014980156645312945
feature87,10986.0,0.7183302833894035,6.609448375436488,-113.1073703,0.0,0.0,0.232696938,0.566525926,0.96130678875,1.41008842,2.9610921733499866,664.6946387,0.030428233268775553,0.5271788250484183,0.5434372690993173,0.07751629316804981,0.014886947539530952
feature88,10986.0,4.153790001465398,6.649952871317805,0.0,0.0,0.0,1.22674491175,2.3353559655,5.162823321,13.022307325,20.816510570500004,277.23305560000006,0.031116849580374435,0.5271788250484183,0.542990791072965,0.06567441674349178,0.015750320451952182
feature89,10251.0,125360.82546603569,171623.31594988628,0.0,0.0,4879.0757575,29937.860615,71813.96667000001,154564.7793,417238.92764999997,810081.2893000001,4311111.0,0.012179901011405208,0.558812136862492,0.5621261004378667,0.09776837571954367,0.0139715783874968
feature90,10251.0,0.1457097818297729,0.06992833125902022,0.0,0.0,0.0301369365,0.10408119499999999,0.137747411,0.181295672,0.2809753985,0.3216064415,0.333333333,0.012179901011405208,0.558812136862492,0.5156933012489635,0.03832663267397862,0.017364989670927162
feature91,10251.0,0.8358246478996203,0.2746168687980048,0.0,0.0,0.0832984185,0.784259332,0.993180373,1.0,1.0,1.0,1.0,0.016914138153647514,0.558812136862492,0.5147261994241804,0.03560238527467785,0.014332193218241475
feature92,10251.0,0.05141961375992611,0.09635329378572736,0.0,0.0,0.0,0.0,0.0,0.066666667,0.2291505795,0.478432282,1.0,0.22827630729502904,0.558812136862492,0.5148214460496889,0.04355139254906376,0.013305367278163456
feature93,10251.0,0.2602172204512721,0.24299696075197097,0.0,0.0,0.0,0.04,0.20338983100000002,0.428571429,0.7333333329999999,0.9148550725,1.0,0.09584678287066925,0.558812136862492,0.4684207343085456,0.0,0.013501806650453125
feature94,10251.0,0.13237359987532946,0.2404732315431212,0.0,0.0,0.0,0.0,0.009285679,0.142895658,0.744261501,1.0,1.0,0.1706477297180977,0.558812136862492,0.4967453632483762,0.0051047205021708675,0.013332975298297816
feature95,10251.0,24.60911130621403,31.96652015209873,0.0,0.0,0.0,6.0,15.0,31.0,80.0,142.0,871.0,0.023542070152786743,0.558812136862492,0.5268103784195063,0.04085650862713741,0.013853713624085509
feature96,10251.0,2.527948492829968,6.656687396763334,0.0,0.0,0.0,0.0,0.0,3.0,11.0,26.0,202.0,0.2572842694211319,0.558812136862492,0.5047529128015527,0.020598110026242455,0.015338293082307709
feature97,10986.0,3813359.0251228837,6081783.180311766,-803634.0,0.0,0.0,476068.25,1719220.0,4670841.25,14400234.75,29231929.899999898,166656066.0,0.036668818592640415,0.5271788250484183,0.5718402413884065,0.10578577303713876,0.01816135124411453
feature98,10986.0,915451.3767178914,861611.2251698738,-1148187.0,0.0,117632.4632,393413.00717500004,699257.103,1158193.0785,2424572.10225,4153871.300049995,15136777.2,0.00688616311598881,0.5271788250484183,0.5242063658336811,0.047177844784558554,0.015764076550228188
feature99,10986.0,1161674.4038825862,1045435.9478711166,0.0,0.0,0.0,500000.0,964389.61035,1530790.44125,3000000.0,5000000.0,18466666.67,0.04613729287712503,0.5271788250484183,0.5603539894267116,0.0924898296077496,0.01900262028290889
feature100,10986.0,202031.66849340146,361797.62298431806,0.0,0.0,14883.749997500001,67053.4166675,129734.60415,240134.54547500002,573166.374975,1142289.241399996,21109678.0,0.015450828491499893,0.5271788250484183,0.5227199916952627,0.04806965286804937,0.015352885669715034
feature101,10986.0,2564582.2587839067,3582703.7894125343,0.0,0.0,0.0,277950.0,1500000.0,3400000.0,9300000.0,16500000.0,56250000.0,0.10656337421992683,0.5271788250484183,0.5523415743036603,0.08824455745745807,0.016630934490936205
feature102,10986.0,0.5694365129288195,16.662406140521394,-1585.365854,0.0,0.0,0.17065615100000003,0.49375780449999995,0.9861596105,1.40650280075,2.979179172949999,664.6946387,0.03503335485259307,0.5271788250484183,0.5468037298175737,0.07864974877103748,0.015651987235926177
feature103,10986.0,5.069962339429625,79.32180853553832,0.0,0.0,0.0,1.005073869,1.8267595855,4.5767456612499995,13.370752605,23.368805467999884,8011.888889,0.04041316978695933,0.5271788250484183,0.5623367782522808,0.10902329221334939,0.016876906495737167
feature104,13067.0,0.03248330909925766,0.14005629430882838,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.50152786744136,0.43761566602108887,0.4579440035643117,0.0,0.29427842661006764
feature105,11191.0,3.0447596729514705,26.067809591523645,0.0,0.0,0.0,0.0,0.25,1.0,5.0,47.150000000000546,786.0,0.22410157090596083,0.5183559285560577,0.3770897052103817,0.0,0.27034334118054226
feature106,11191.0,4.743548878563126,39.782088974090485,0.0,0.0,0.0,0.0,0.1607,1.5,9.3333,71.21097000000032,1395.2147,0.22410157090596083,0.5183559285560577,0.3912401935411125,0.0,0.27007913542319334
feature107,13067.0,3.188334820540281,29.50181284955271,0.0,0.0,0.0,0.0,0.1667,0.75,5.0,49.66456200000016,897.0,0.22311168495803743,0.43761566602108887,0.37213126438597816,0.0,0.29335689707497814
feature108,7393.0,0.029741187609901236,0.12748287506395664,0.0,0.0,0.0,0.0,0.0,0.0,0.17493999999999904,1.0,1.0,0.27983645362599524,0.6818162255218421,0.4450932837198313,0.0,0.05196270585387052
feature109,7393.0,3.5038806709049006,32.04502215967622,0.0,0.0,0.0,0.0,0.1,0.5385,5.0,61.36663599999997,897.0,0.13135356143748655,0.6818162255218421,0.2992220819459518,0.0,0.05238050739318431
feature110,9695.0,4.893140794223827,41.312979248292905,0.0,0.0,0.0,0.0,0.0,1.0,5.0,111.05999999999949,786.0,0.26128685173230043,0.582741553690553,0.4089037260220331,0.0005701583495829341,0.17976696373677242
feature111,9695.0,7.180706013408958,55.95841288351409,0.0,0.0,0.0,0.0,0.0,1.5,12.0,140.70289199999996,1395.2147,0.26128685173230043,0.582741553690553,0.4093914396096066,0.0,0.1810296398731373
feature112,9695.0,15.503189345023213,148.64399138685255,0.0,0.0,0.0,0.0,0.0,2.4,21.0,293.9143259999934,6444.0,0.26128685173230043,0.582741553690553,0.41195703939919764,0.0,0.17979643346235913
feature113,11296.0,4.7797500354107445,35.58319987357882,0.0,0.0,0.0,0.0,0.0,0.6667,8.51785,111.72075499999886,897.0,0.2707122874973101,0.51383688401119,0.3771203554551345,0.0,0.19156202157310553
feature114,11296.0,7.237960339943343,46.899325519498525,0.0,0.0,0.0,0.0,0.0,1.0,18.0,162.09999999999854,897.0,0.2707122874973101,0.51383688401119,0.3717068528837506,0.0001931768258921461,0.1769640115354892
feature115,11563.0,2.892902084234187,23.43012954419105,0.0,0.0,0.0,0.0,0.3333,1.0,6.0,47.0,786.0,0.20632666236281472,0.5023455993113837,0.37069034564266734,0.0,0.27537530100855423
feature116,11563.0,5.375508086136816,38.888002382175294,0.0,0.0,0.0,0.0,1.0,2.0,10.0,99.7599999999984,786.0,0.20632666236281472,0.5023455993113837,0.38774099840273396,0.00046553642956577825,0.2748755839130139
feature117,10519.0,0.003389286053807395,0.03715569724622164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952,1.0,0.44303851947493006,0.5472778136432107,0.49266918221317446,0.0,0.2305209287049459
feature118,11563.0,4.127272403355529,34.036692100794646,0.0,0.0,0.0,0.0,0.3,1.6301,9.107519999999973,55.13786199999974,1164.98,0.20632666236281472,0.5023455993113837,0.3886911489006025,0.0,0.2758048870745604
